发文时间,用户名,博文,评论数,转发数,点赞数
2020-06-13 09:47:00,肥电VS疣猪,看看现在小孩多成熟，所以法律刑事责任年龄定13周岁没毛病。,0.0,0.0,0.0
2020-06-13 22:27:00,黄石人民广播电台,重磅文件！事关黄石中小学、幼儿园...学校安全关系到千家万户幸福安宁、社会和谐稳定。6月9日，记者从湖北省人大常委会获悉，《湖北省学校安全条例》（以下简称条例）在省十三届人大常委会第十六次会议上审议并全票通过，将于8月1日起实施。条例共六章五十三条，以明确各方面责任为主线，进一步厘清学校安全立法调整的范围，细化校园及周边安全管理措施，为学校创造稳定、安全的良好环境。校园周边将划安全区域条例将校园内以及校园周边纳入学校安全立法调整范畴，规定学校所在地人民政府可以根据校园周边环境秩序综合整治需要，在校园周边一定范围划定安全区域，禁止建设影响学校安全的企业、设施和场所；公安机关应当将校园及周边治安纳入社会治安防控体系，建立健全校园周边日常巡逻防控制度；公安、交通运输等部门应当优化校园周边道路交通规划；市场监督管理部门应当加强对校园及周边经营场所和经营活动的监督检查等。中小学、幼儿园实行封闭式管理条例加强并细化了校园内安全管理措施，要求学校应当加强物防、技防建设，按照规定配备具有保安员资格的安全保卫人员和防卫器械。学生在校期间，中小学、幼儿园实行封闭式管理；校外人员进入校园，应当经学校允许，并配合进行查验登记和安全检查。小学低年级和幼儿园应当建立学生接送交接制度；监护人或者受委托人不能按时接送学生的，学校按照规定提供照管服务。学校招录教职工和外聘人员，应当对拟录用人员进行思想品质、心理健康状况评估和身份核查。运动场、教室、校舍交付前须进行空气检测条例规定，校园内运动场所以及教室、宿舍等建（构）筑物在交付使用前，应当由有资质的第三方专业检测机构对空气中甲醛、苯等挥发性有机物进行检测，并在显著位置公示检测结果；未经检测或者检测不合格的，不得交付使用。同时规定，政府有关部门应当定期组织对校园内公共场所、建（构）筑物、设施设备等进行检测和安全检查。完善传染病信息报告网络针对当前新冠肺炎疫情防控进入常态化管理的大背景，条例在做好学校公共卫生事件预防、应急和处置工作等方面作出规定：卫生健康部门应当实施学校公共卫生风险监测，完善传染病信息报告网络，加强对学校卫生保健、营养健康和疾病预防控制等工作的指导。学校应当制定公共卫生事件应急预案，开展公共卫生安全教育，做好日常体温监测、通风消毒、学生因病缺勤登记追访、免疫规划管理等工作；校园内突发传染病或者发现疑似传染病疫情时，应当按照规定立即报告，并根据情况采取暂时性隔离、停课等措施。加大对实施欺凌和暴力学生处罚力度条例建立校园欺凌、暴力防范和处理机制，明确规定政府应当建立健全校园欺凌和暴力的预防和处理工作协调机制；学校应当建立健全校园欺凌和暴力防治工作早期预警、事中处理和事后干预机制，采取措施保护和帮助遭受欺凌和暴力的学生，开展相应的心理疏导。同时加大对实施欺凌和暴力的学生的处罚力度，规定学校应当对其进行批评教育，视具体情节和危害程度给予纪律处分；情节严重的，记入学生综合素质评价，并由公安机关进行警示教育或者依法予以训诫；构成犯罪的，依法追究刑事责任。建立学生心理健康筛查、早期干预机制条例将提高安全意识、防范能力以及加强心理健康教育作为学校安全管理的重要内容，规定学校应当配备心理健康教师，提供心理健康教育、心理辅导和疏导服务，建立学生心理健康筛查、早期干预机制。学生有心理异常状况的，父母或者其他监护人应当及时报告学校；学校应当在教育教学中采取相应的防护措施，并依法保护相关个人隐私。学校应当开设公共安全和生命安全教育课程；根据学生年龄特点，开展相关专题教育。 收起全文d,1.0,0.0,1.0
2020-06-15 07:40:00,by风与叶,即使孩子未到刑责年龄，只要证明其实施犯罪时具有恶意，并有能力辨明是非能力，也将承担刑事责任。O13岁女生被4男生“轮奸”细节曝光：好一个“未满14岁”，让四个轮奸犯全身而退！ ​,0.0,0.0,0.0
2020-06-16 04:15:00,取名字太麻烦了就随便凑合吧,今天看到一个控诉校园欺凌的视频，我对那个善良又勇敢的孩子的逝去深表遗憾。固然我痛恶校园欺凌的恶霸，希望他们能够得到合理的制裁和惩罚。但是当我看到评论底下一片戾气，有些评论提出要降低未成年人的刑事责任年龄（不确定表述是否准确，但大概是这个意思），又想到罗翔老师出过的一期相关视频。其实，在翻评论的时候，没有怎么思考，反而当我离开去看书的时候，这件事情在我脑子里挥之不去。先表明态度，对于是否要降低刑事责任年龄，暂时持观望态度，因为还没想太明白，可能很长一段时间都是如此。但是，我还是想说说我的一丢丢不成熟的想法。有些人认为应该要降低刑事责任年龄，是因为现在的小孩比之前的接触了更多来自互联网的海量信息，尤其是一些短视频平台的兴起，更早地拥有了一些观念和知识，思想也更为早熟。可是我在想，这种早熟，它是真的熟了吗，还是看起来熟了内里依旧是生的。这里的“熟”，按前面的话，分为“外熟”和“内熟”。依我看来，“内熟”是一种深层次的比如思想、三观层面的成熟；“外熟”是比较浅表的行为及认知等，会偏向外在一点。比如说，我觉得可以体现“外熟”和“内熟”差距之一的是能否从两个及以上的方面去看待一件事。真正的成熟是两熟皆有，但侧重于“内熟”，另外一种显然是只包括了“外熟”的。依我来看，我觉得现在的小孩更像是“外熟”。比如网恋，当社会人，用不正当的小聪明去获取钱财。但是你要问他，什么是恋爱，真正的社会人应该是个什么样子，你的金钱观是什么，得到的答案与成年人是有差距的。“内熟”是需要增长社会阅历和见识才能得到的，社科类的知识真的很有帮助。短视频泥沙俱下，并且很容易让人沉浸其中，有些大人都上瘾痴迷，更别提三观未成的小孩子。小孩在刷短视频时，难免会受到不良不正的三观影响。其实不只是短视频，互联网的其他信息也会如此，不过我对短视频有主观的恶意，所以点名批评，实际上短视频确实算得上对青少年有着显著的影响力。按照社会化的部分理论，一般来说，十四岁左右会开始具备思考高度抽象的概念的能力，比如信仰、文化等。可是这种能力不是自然而然就会有，他们需要通过读书、阅历和知识才能获得。而短视频的形式会影响内容质量，虽然内容质量本就emm，视频时间过短导致无法进行相对长时间的思考（除非你停止划向下一个短视频的动作），而且一个接一个的短视频使得思考过程出现断层和分离。《娱乐至死》中作者讲了电视形式的危害，我认为短视频雪上加霜。总结一下，互联网，尤其短视频，看似向青少年输送了很多“知识”“阅历”，看起来“外熟”，实则阻断了思考能力的增长，甚至可能会比前人更晚“内熟”。所以，依据现在小孩普遍早熟，来降低刑事年龄，我暂时还无法给出明确的态度。PS，小孩，短视频等都是我主观的整体印象，不代表个别和特殊的案例，也不一定与实际情况相符。 收起全文d,0.0,0.0,0.0
2020-06-16 17:48:00,玄英之鹰,//@神奇知识点:刑事责任与年龄脱钩，按案件性质处罚才是王道,0.0,0.0,0.0
2020-06-17 09:37:00,传播负能量的太师,//@贝勒王duki: 很多纵火犯都是从很小就开始有相关行为的，降低刑事责任年龄不如干脆去掉年龄//@金鑫泰山://@弹古论斤:转发微博,0.0,0.0,1.0
2020-06-17 15:08:00,重庆长安网,【全市首创！垫江县启动罪错未成年人分级矫治工作】本网讯（记者 杨雪）昨（16）日，垫江县启动罪错未成年人分级矫治工作，这在全市尚属首创。启动仪式现场，垫江县委政法委、县法院、县检察院、县公安局、县司法局共同签订了《关于罪错未成年人分级矫治实施办法（试行）》（以下简称《实施办法》），该《实施办法》经垫江县法检公司等部门经过多次调研、分析论证，共同起草制定。　　 　什么是罪错未成年人分级矫治？该县检察院相关负责人介绍，根据《实施办法》，罪错未成年人分级矫治是指根据罪错未成年人违法行为、违法后果的严重程度，划分为违反治安管理法规的、不达刑事责任年龄犯罪的、人民检察院作不起诉决定及被判处、裁定或决定的非监禁刑等四类人员，分别制定有针对性矫治措施的一种处遇机制。　　　根据《实施办法》，将未成年人罪错行为划分为四级：第一级是严重不良行为或违反《治安管理处罚法》规定的未成年人；第二级是实施刑法所规定犯罪行为，但未达到刑事责任年龄的未成年人；第三级是人民检察院作出不起诉决定的未成年人；第四级是被判处、裁定或决定的非监禁刑的未成年人。“第一级和第二级划分为涉错未成年人，第三级和第四级划分为涉罪未成年人，针对涉错和涉罪采取不同的矫治处置措施，让罪错未成年人得以分级教育、感化、挽救。”该负责人介绍。《实施办法》规定，针对上述四类人员，公检法司各司其职、分类矫治，尤其针对未达刑事责任年龄的未成年人，采取以下几个措施：一是训诫。对未成年人及其监护人进行训诫，在训诫的基础上向未成年人发出《警醒书》，向监护人发出《督促监督令》。二是送短期集训班。协商教委，由所在学校德育副校长、校团委、班主任、班干部、品德良好学生组成“五位一体”帮教小组，对涉错未成年人进行帮教。三是送专门学校接受矫治。目前垫江县正在探索建立专门学校，以实现“提前干预、以教代刑”。四是根据《刑法》第十七条规定进行收容教育，以此形成联动协同、齐抓共管、综合施策的治理格局。“青少年违法犯罪状况是社会和谐的‘晴雨表’，少年司法工作也是衡量一个地区政府及司法部门理性程度的‘试金石’。”西南政法大学教授、博士生导师高维俭表示，《实施办法》体现了对未成年人的全面司法保护，有利于从制度机制层面做好罪错未成年人分级矫治工作，把未成年人法律推向了纵深。　  活动现场还对垫江县检察院“莎姐”工作站、垫江县公安局未成年人警务工作办公室进行了授牌。 收起全文d,0.0,0.0,0.0
2020-06-17 20:20:00,Kueeennie_,其实剧情完全不用大改 把三个小孩的年龄改大就行了 刚好可以契合最近那个降低刑事责任年龄拍完了就是教育片,0.0,0.0,0.0
2020-06-18 06:49:00,记者焦永锋,【面包车雨夜肇事逃逸   西安交警部门寻找伤者家属】昨晚（6月16日）21时25分许，西安莲湖大队接警，在辖区桃园北路发生一起机动车与自行车相撞事故，机动车当场逃逸，自行车驾驶人受伤。接警后，民警赶赴现场调查处置，并护送救护车将伤者送往附近医院，伤者目前仍处于昏迷中……肇事司机已于今日上午投案自首，警方现寻找伤者家属。伤者为男性，身高170cm左右，身穿白色上衣，军绿色胶鞋，右手带一手表，年龄60—70岁，希望知情者请与杨警官、魏警官联系，电话:15029888802 029-84263792       交警部门提醒广大驾驶人：发生事故应第一时间救治伤者，配合民警调查处理，切勿逃逸！肇事逃逸将被处以2000元罚款，并处15日以下拘留，驾照记12分的处罚。情节恶劣，后果严重者将被追究刑事责任。华商报记者  张成龙 收起全文d,1.0,0.0,2.0
2020-06-18 16:14:00,河北综合广播,【石家庄市公安局交通管理局致全市危险货物道路运输企业的一封信】为深刻吸取G15沈海高速浙江温岭“6.13”槽罐车爆炸重大事故血的教训，严格落实危险货物道路运输企业安全管理主体责任和安全生产责任制，严防运输车辆发生交通事故和安全生产事故，保障人民群众生命财产安全，维护社会稳定，省会交警呼吁各危险货物道路运输企业必须遵守以下20条规定：一、建立、健全安全管理规章制度和岗位安全责任制度，通过岗前培训、例会、定期学习等方式，对从业驾驶人、押运人员进行经常性的安全生产、业务知识、操作规程培训和法制、职业道德教育。二、依法取得危险货物道路运输许可，配备专职安全管理人员。三、制定本单位危险货物道路运输事故应急预案，配备应急救援人员和必要的应急救援器材、设备，并定期组织应急救援演练。四、按照《危险货物道路运输安全管理办法》和《道路货物运输及站场管理规定》有关车辆管理的规定，做好车辆维护、检测、使用和管理工作，确保专用车辆技术状况良好。五、禁止使用报废的、擅自改装的、检测不合格的、车辆技术等级达不到一级的和其他不符合国家规定的车辆从事道路危险货物运输。六、从事危险货物道路运输应当按照政府许可的经营范围承运危险货物；驾驶人员、押运人员应当依法取得从业资格。七、危险货物承运人应当使用安全技术条件符合国家标准要求且与承运危险货物性质、重量相匹配的车辆、设备进行运输。　　危险货物承运人使用常压液体危险货物罐式车辆运输危险货物的，应当在罐式车辆罐体的适装介质列表范围内承运；使用移动式压力容器运输危险货物的，应当按照移动式压力容器使用登记证上限定的介质承运。　　危险货物承运人应当按照运输车辆的核定载质量装载危险货物，不得超载。八、危险货物承运人在运输前，应当对运输车辆、罐式车辆罐体、可移动罐柜、罐式集装箱（以下简称罐箱）及相关设备的技术状况，以及卫星定位装置进行检查并做好记录，对驾驶人、押运人员进行运输安全告知。　　九、危险货物道路运输车辆驾驶人、押运人员在起运前，应当对承运危险货物的运输车辆、罐式车辆罐体、可移动罐柜、罐箱进行外观检查，确保没有影响运输安全的缺陷。　　危险货物道路运输车辆驾驶人、押运人员在起运前，应当检查确认危险货物运输车辆按照《道路运输危险货物车辆标志》（GB 13392）要求安装、悬挂标志。运输爆炸品和剧毒化学品的，还应当检查确认车辆安装、粘贴符合《道路运输爆炸品和剧毒化学品车辆安全技术条件》（GB 20300）要求的安全标示牌。十、应当通过卫星定位监控平台或者监控终端，及时纠正和处理超速行驶、疲劳驾驶、不按规定线路行驶、随意变更车道、吸烟、接打电话、视频聊天等违法违规驾驶行为。十一、危险货物道路运输车辆应当安装、悬挂符合《道路运输危险货物车辆标志》（GB 13392）要求的警示标志，随车携带防护用品、应急救援器材和危险货物道路运输安全卡，严格遵守道路交通安全法律法规规定，保障道路运输安全。　　运输爆炸品和剧毒化学品车辆还应当安装、粘贴符合《道路运输爆炸品和剧毒化学品车辆安全技术条件》（GB 20300）要求的安全标示牌。　　运输剧毒化学品、民用爆炸物品、烟花爆竹、放射性物品或者危险废物时，还应当随车携带法定单证报告。　　十二、危险货物运输车辆在高速公路上行驶速度不得超过每小时80公里，在其他道路上行驶速度不得超过每小时60公里。道路限速标志、标线标明的速度低于上述规定速度的，车辆行驶速度不得高于限速标志、标线标明的速度。与前车保持足够的安全距离。　　十三、驾驶人应当确保罐式车辆罐体、可移动罐柜、罐箱的关闭装置在运输过程中处于关闭状态。　　十四、运输民用爆炸物品、烟花爆竹和剧毒、放射性等危险物品时，应当按照公安机关批准的路线、时间行驶。十五、未经公安机关批准，运输危险化学品的车辆不得进入危险化学品运输车辆限制通行的区域。十六、不得使用罐式专用车辆或者运输有毒、感染性、腐蚀性危险货物的专用车辆运输普通货物。不得将危险货物与普通货物混装运输。十七、运输危化品的驾驶人员、押运人员，应当了解所运输的危险化学品的危险特性及其包装物、容器的使用要求和出现危险情况时的应急处置方法。　　十八、剧毒化学品、易制爆危险化学品在道路运输途中丢失、被盗、被抢或者出现流散、泄漏等情况的，驾驶人员、押运人员应当立即采取相应的警示措施和安全措施，并向当地公安机关报告。十九、运输危化品车辆驾驶人年龄不得超过60岁。二十条、危险货物道路运输企业及其驾驶人、押运人员违反上述规定的，公安机关将依照《治安管理处罚法》、《道路交通安全法》、《危险化学品安全管理条例》和《危险货物道路运输安全管理办法》的有关规定，给予顶格处罚，违反治安管理行为的，依法给予治安管理处罚；构成犯罪的，依法追究刑事责任。　（记者 许晓彤） 收起全文d,0.0,0.0,1.0
